"PERIODO","FECHA","ZONA","DIRECCION_EXACTA","CLASE_ACCIDENTE","SEGUNDO_OBJETO","TIPO_AVERIAS","CANTIDAD_HERIDOS","CANTIDAD_FALLECIDOS","LATITUD","LONGITUD","INTERSECCI_N"
"2,022","2022 Jun 25 12:00:00 AM","URBANA","CALLE-16-CARRERA-14","CHOQUE","VEHICULO","0","0","1","3.9078931","-76.2982902","POINT (-76.2982902 3.9078931)"
"2,022","2022 Jun 26 12:00:00 AM","URBANA","CALLE-6-CARRERA-9","CHOQUE","0-DISPONIBLE","1","0","0","3.8977771","-76.2974962","POINT (-76.2974962 3.8977771)"
"2,022","2022 Jun 29 12:00:00 AM","URBANA","CARRERA-17-CALLE-3","CHOQUE","VEHICULO","1","0","0","3.8974054","-76.3054108","POINT (-76.3054108 3.8974054)"
"2,022","2022 Jun 26 12:00:00 AM","URBANA","CARRERA-15A-CALE-27","CHOQUE","VEHICULO","0","1","0","3.9098854","-76.306087","POINT (-76.306087 3.9098854)"
"2,022","2022 Jun 28 12:00:00 AM","URBANA","CALLE-27A-CARRERA-16","VOLCAMIENTO","NA","0","1","0","3.916988","-76.2974516","POINT (-76.2974516 3.916988)"
"2,022","2022 Jul 02 12:00:00 AM","URBANA","CARRERA-19-CALLE-1","CHOQUE","VEHICULO","1","0","0","3.8955963","-76.3080224","POINT (-76.3080224 3.8955963)"
"2,022","2022 Jul 07 12:00:00 AM","URBANA","CALLE-7-CARRERA-9","CHOQUE","VEHICULO","0","1","0","3.8986738","-76.2971495","POINT (-76.2971495 3.8986738)"
"2,022","2022 Jul 08 12:00:00 AM","URBANA","CARRERA-14-CALLE-6-SUR","CHOQUE","VEHICULO","1","0","0","3.8892187","-76.3042486","POINT (-76.3042486 3.8892187)"
"2,022","2022 Jul 11 12:00:00 AM","URBANA","CALLE-14-CARRERA-7","CHOQUE","VEHICULO","0","1","0","3.9037964","-76.2925089","POINT (-76.2925089 3.9037964)"
"2,022","2022 Jul 17 12:00:00 AM","URBANA","CALLE-21-CARRERA-8","CHOQUE","VEHICULO","1","0","0","3.90991","-76.2915603","POINT (-76.2915603 3.90991)"
